Date/Time,LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep:REPORTSCH) 
 01/21  09:40:00,4.575279871558341,35269694.00976983,0.0,19.480169677691073,28.57848820028916,1.333850963947138,0.0,0.0,0.0,0.0,4.97701529166474,0.0,0.0,0.0,0.0,0.0,5471132.199313744,29622120.649854146,1.0000000000000004,1.0000000000000004,2.000000000000001 
 01/21  09:50:00,5.038687870293973,35022882.79343729,0.0,19.48016967769108,28.578488200289176,1.6239969253952826,0.0,0.0,0.0,0.0,5.7410422339515925,0.0,0.0,0.0,0.0,0.0,5553542.375759332,29293014.366543975,1.0000000000000009,1.0000000000000009,2.0000000000000018 
 01/21  10:00:00,5.502096237964087,34775924.46168496,0.0,19.48016967769108,28.578488200289176,1.9242280531852398,0.0,0.0,0.0,0.0,6.570143118052085,0.0,0.0,0.0,0.0,0.0,5639267.778995938,28960379.432783943,1.0000000000000009,1.0000000000000009,2.0000000000000018 
 01/21  10:10:00,5.785661126471011,34625030.349395305,0.0,19.480169677691066,28.57848820028915,2.210743587576739,0.0,0.0,0.0,0.0,7.425375608368084,0.0,0.0,0.0,0.0,0.0,5689519.861596228,28727110.9200012,1.0,1.0,2.0 
 01/21  10:20:00,6.068138701938738,34474657.000774704,0.0,19.480169677691066,28.57848820028915,2.4805159482683106,0.0,0.0,0.0,0.0,8.275920123579564,0.0,0.0,0.0,0.0,0.0,5740969.350869595,28525100.760380425,1.0,1.0,2.0 
 01/21  10:30:00,6.350679141803106,34324201.688898765,0.0,19.48016967769106,28.578488200289137,2.752675734046682,0.0,0.0,0.0,0.0,9.122553197674998,0.0,0.0,0.0,0.0,0.0,5793671.0952822175,28321971.232826725,0.9999999999999996,0.9999999999999996,1.9999999999999991 
 01/21  10:40:00,6.632802850072931,34173918.06402449,0.0,19.480169677691073,28.57848820028916,3.0300089216615755,0.0,0.0,0.0,0.0,9.944496692547181,0.0,0.0,0.0,0.0,0.0,5847681.4279665835,28117619.593155906,1.0000000000000004,1.0000000000000004,2.000000000000001 
 01/21  10:50:00,6.914743462269524,34023679.39786039,0.0,19.48016967769108,28.578488200289176,3.309113848552837,0.0,0.0,0.0,0.0,10.690039282922601,0.0,0.0,0.0,0.0,0.0,5903058.082199926,27911989.126313258,1.0000000000000009,1.0000000000000009,2.0000000000000018 
 01/21  11:00:00,7.19643665616692,33873518.921022415,0.0,19.48016967769108,28.578488200289176,3.586137553663555,0.0,0.0,0.0,0.0,11.325757634933703,0.0,0.0,0.0,0.0,0.0,5959860.237244541,27705000.245979086,1.0000000000000009,1.0000000000000009,2.0000000000000018 
 01/21  11:10:00,7.463050520720126,33731405.91837971,0.0,19.480169677691066,28.57848820028915,3.8261272352097038,0.0,0.0,0.0,0.0,11.824914454562714,0.0,0.0,0.0,0.0,0.0,5991096.197635708,27554629.008118894,1.0,1.0,2.0 
