Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) 
January,7160707889.657765,1780354036.2348597,970200000.0,5380353853.422958,15453990954.710236,15453990954.710236 
February,6019476295.09763,1550580140.8422372,848160000.0,4468896154.255393,9662186424.801548,9662186424.801548 
March,4805185032.633738,1633337488.083834,897480000.0,3171847544.549907,4294642293.413688,4294642293.413688 
April,3721559094.175001,1633285759.6047232,929520000.0,2088273334.5702927,2306884249.4997864,2306884249.4997864 
May,2614419395.3633957,1689054592.9722638,970200000.0,925364802.3911257,176387843.1381007,176387843.1381007 
June,3006953830.702432,1456020833.193602,856800000.0,1550932997.5088413,1259572.5539563382,1259572.5539563382 
July,4001433980.799994,1564716985.3743951,970200000.0,2436716995.4255934,0.0,0.0 
August,3222577321.964448,1571668850.95266,933840000.0,1650908471.011802,0.0,0.0 
September,2501215718.4801354,1550818701.0774927,893160000.0,950397017.4026507,24391732.54696731,24391732.54696731 
October,2739986341.558648,1723478093.6046388,970200000.0,1016508247.9540045,1193669454.9869676,1193669454.9869676 
November,4711008219.852322,1601801135.5085902,893160000.0,3109207084.3437543,4947257018.447908,4947257018.447908 
December,7650384287.966618,1711838766.1118858,933840000.0,5938545521.854678,11451867779.7177,11451867779.7177,52154907408.25285,19466955383.55936,11066760000.0,32687952024.69105,49512537323.81672,49512537323.81672 
July,123523604.72828043,66203929.17599304,40680000.0,57319675.552287385,0.0,0.0,123523604.72828043,66203929.17599304,40680000.0,57319675.552287385,0.0,0.0 
