Date/Time,LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep:REPORTSCH) 
 01/21  03:10:00,23.365195064223762,8080480.297818758,0.0,23.41,32.26,-0.433058349470559,0.0,0.0,0.0,0.0,-1.2289731092323644,0.0,0.0,0.0,0.0,0.0,4809113.67105072,3135780.7371365847,1.0,1.0,2.0 
 01/21  03:20:00,22.30205161815764,5928957.092157262,0.0,22.076666666666664,32.26,-0.4248513389332227,0.0,0.0,0.0,0.0,-1.1765066219457971,0.0,0.0,0.0,0.0,0.0,2608747.450580531,3225966.506225441,0.5587333454514516,0.5,1.1666666666666665 
 01/21  03:30:00,22.703224172322024,5786256.305392808,0.0,22.743333333333325,32.259999999999984,-0.4187479762943306,0.0,0.0,0.0,0.0,-1.1297959143332879,0.0,0.0,0.0,0.0,0.0,3409335.722718665,2336267.118540501,0.7251642627165388,0.6666666666666664,1.666666666666666 
 01/21  03:40:00,22.940686351656762,7031527.7524758205,0.0,23.409999999999993,32.259999999999984,-0.413617249151697,0.0,0.0,0.0,0.0,-1.0849979604841533,0.0,0.0,0.0,0.0,0.0,4807327.404166879,2767864.4526814315,0.9999999999999997,0.9999999999999997,1.9999999999999993 
 01/21  03:50:00,23.36530650653431,8125955.60273461,0.0,23.41,32.26,-0.4108984700315211,0.0,0.0,0.0,0.0,-1.0552062659928803,0.0,0.0,0.0,0.0,0.0,4808411.959478101,3181686.3721632077,1.0,1.0,2.0 
 01/21  04:00:00,22.29952951180889,5972679.909609942,0.0,22.076666666666636,32.259999999999955,-0.41016134375112484,0.0,0.0,0.0,0.0,-1.0376457243715795,0.0,0.0,0.0,0.0,0.0,2616797.7929306305,3262456.9002623437,0.561157048673194,0.49999999999999933,1.166666666666665 
 01/21  04:10:00,22.70426666761825,5846688.167446809,0.0,22.743333333333332,32.26,-0.4099055504081842,0.0,0.0,0.0,0.0,-1.0217916128679865,0.0,0.0,0.0,0.0,0.0,3417333.507672716,2383784.138739909,0.7302239500426342,0.6666666666666666,1.6666666666666665 
 01/21  04:20:00,22.94211165595428,7098800.064960675,0.0,23.41,32.26,-0.41013350513146335,0.0,0.0,0.0,0.0,-1.0049808242047016,0.0,0.0,0.0,0.0,0.0,4781121.788664854,2860297.3863443923,1.0,1.0,2.0 
 01/21  04:30:00,23.365472973925375,8206185.255264036,0.0,23.41,32.26,-0.4109320877174097,0.0,0.0,0.0,0.0,-0.9912935753054506,0.0,0.0,0.0,0.0,0.0,4769416.506399931,3300549.715544817,1.0,1.0,2.0 
 01/21  04:40:00,22.29440517997939,6065045.108615382,0.0,22.07666666666665,32.25999999999998,-0.41208375813628423,0.0,0.0,0.0,0.0,-0.9803948724554792,0.0,0.0,0.0,0.0,0.0,2607645.346512056,3365548.357574705,0.5666847636253936,0.49999999999999967,1.1666666666666659 
