Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) ,Simulation_ID
August,3804884390.790521,1419846017.59366,877325327.0303843,2385038373.196845,102755320.88996404,102755320.88996404,,,,,,,4
September,3853893043.4073014,1432001134.7874217,839107222.9615947,2421891908.6198864,263470724.33461976,263470724.33461976,,,,,,,4
October,5301969709.086304,1669766474.368437,911484871.3750536,3632203234.717864,2349580102.6661077,2349580102.6661077,,,,,,,4
November,7583318028.588445,1655179596.6394377,839107222.9615953,5928138431.949006,8967714301.448908,8967714301.448908,,,,,,,4
December,8578034018.903857,1745906876.463433,877325327.0303837,6832127142.440423,11269355823.281826,11269355823.281826,73948510946.76282,19169930383.17049,10397015373.2574,54778580563.5887,71705598911.57231,71705598911.57231,4
July,120416231.16710572,60837037.171690784,38218104.068786,59579193.99541496,1757530.7884961972,1757530.7884961972,120416231.16710572,60837037.171690784,38218104.068786,59579193.99541496,1757530.7884961972,1757530.7884961972,4
January,8704647538.856731,1957731765.7043717,1062970175.4855752,6746915773.152363,15249954790.479055,15249954790.479055,,,,,,,5
February,7132253286.131726,1725952396.5481815,929260754.5247052,5406300889.583538,12698620840.207138,12698620840.207138,,,,,,,5
March,7019511850.931417,1820598103.945808,983296715.2080036,5198913746.985601,9154502398.953035,9154502398.953035,,,,,,,5
April,4168702206.116083,1763259315.5361402,1018400368.4986116,2405442890.579928,3561205615.3768225,3561205615.3768225,,,,,,,5
May,3050692013.852756,1757135904.5133655,1062970175.4855752,1293556109.339429,793514303.8907503,793514303.8907503,,,,,,,5
June,2900371375.044204,1496428428.0226362,938726908.2210304,1403942947.0215707,29918594.58473343,29918594.58473343,,,,,,,5
July,3756821191.679969,1617372427.8897882,1062970175.4855752,2139448763.7901857,0.0,0.0,,,,,,,5
August,3286740953.6203465,1592396157.0187404,1023133445.3467824,1694344796.6016035,7140387.597644013,7140387.597644013,,,,,,,5
September,2613445464.4727716,1574865886.553093,978563638.3598204,1038579577.9196876,41790221.4918634,41790221.4918634,,,,,,,5
