Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) ,Simulation_ID
December,7185627150.469206,1771886637.214548,873214499.916437,5413740513.254654,9749844990.977488,9749844990.977488,58522361445.31238,20302573604.95273,10732166978.516537,38219787840.36074,62386251150.73486,62386251150.73486,17
January,8407230205.306363,1894160416.3153436,929032213.7189876,6513069788.991036,15481829328.817116,15481829328.817116,,,,,,,22
February,6972169158.009503,1719647407.0939796,843793329.0369728,5252521750.915538,12281027815.540134,12281027815.540134,,,,,,,22
March,6851801260.0679655,1922456840.6824749,965205017.7226936,4929344419.385517,8954388412.00546,8954388412.00546,,,,,,,22
April,4034554855.953149,1636317287.6183665,852388846.8200365,2398237568.334794,3561665881.753175,3561665881.753175,,,,,,,22
May,3045740902.887552,1732289871.159936,965205017.722698,1313451031.7276094,728838232.1664853,728838232.1664853,,,,,,,22
June,3114645785.767196,1577511220.32073,924734454.8274372,1537134565.4464574,31276419.050378133,31276419.050378133,,,,,,,22
July,3667354226.859844,1470526172.05141,892859409.7152768,2196828054.808438,0.0,0.0,,,,,,,22
August,3418416323.382585,1613851768.480378,965205017.722698,1804564554.9022171,3318048.248734852,3318048.248734852,,,,,,,22
September,2685128034.512993,1548966849.4735188,888561650.8237419,1136161185.0394747,38136347.44725676,38136347.44725676,,,,,,,22
October,3268404551.0580683,1720294160.2874818,929032213.7189876,1548110390.7705913,1802368317.557258,1802368317.557258,,,,,,,22
November,5744859234.51986,1799922667.566434,924734454.8274534,3944936566.953452,7437654661.165296,7437654661.165296,,,,,,,22
December,7098878225.453958,1786549292.0735962,892859409.7152767,5312328933.380368,9264551783.040302,9264551783.040302,58309182763.77944,20422493953.12364,10973611036.3739,37886688810.655525,59585055246.791565,59585055246.791565,22
January,8646359911.880026,1767798986.694344,892848852.4451822,6878560925.185654,15592362257.371515,15592362257.371515,,,,,,,25
February,7208880959.514713,1604774774.997075,810929798.1344864,5604106184.517628,12543716936.701431,12543716936.701431,,,,,,,25
March,7196356533.017251,1794689710.0505836,927612820.8711486,5401666822.9666605,9292598042.101095,9292598042.101095,,,,,,,25
April,4238482878.641375,1534732666.4588013,819190543.1069939,2703750212.1825747,3930135790.298888,3930135790.298888,,,,,,,25
May,3038880579.997065,1624393457.684346,927612820.8711497,1414487122.3127377,910901710.5341666,910901710.5341666,,,,,,,25
June,2934230822.994344,1480738434.6844192,888718479.9589279,1453492388.3099177,52190002.597888194,52190002.597888194,,,,,,,25
July,3405950032.37535,1392810679.2411225,858084884.0192146,2013139353.134226,1390263.167304237,1390263.167304237,,,,,,,25
August,3165827121.204886,1522608481.1131816,927612820.8711497,1643218640.0917168,18292091.523181006,18292091.523181006,,,,,,,25
September,2566633347.4745965,1455172969.4647405,853954511.5329565,1111460378.009855,72748674.75169502,72748674.75169502,,,,,,,25
October,3396329510.359827,1609502924.8777213,892848852.4451822,1786826585.4821212,2137307762.0154417,2137307762.0154417,,,,,,,25
November,6023344740.484236,1681832516.3125482,888718479.9589279,4341512224.171665,7882266526.721665,7882266526.721665,,,,,,,25
December,7402941414.431491,1669430936.366386,858084884.019214,5733510478.065114,9662893458.980822,9662893458.980822,59224217852.37468,19138486537.945297,10546217748.226456,40085731314.42985,62096803516.765495,62096803516.765495,25
January,7748473669.179043,1866329960.2332776,950338230.181531,5882143708.945778,12921645263.441368,12921645263.441368,,,,,,,33
February,6351637714.065226,1694197321.443832,863144514.3823082,4657440392.621399,10516050494.856483,10516050494.856483,,,,,,,33
March,6198663736.475692,1897371951.3563468,987340605.3736444,4301291785.119341,7739715997.943483,7739715997.943483,,,,,,,33
April,3859654166.471383,1609369441.144767,871937157.9923099,2250284725.3266277,2927439958.319464,2927439958.319464,,,,,,,33
May,3212305273.413924,1700185768.2969007,987340605.3736398,1512119505.117054,564203189.7957428,564203189.7957428,,,,,,,33
June,3445553416.6839848,1543164667.745841,945941908.3765316,1902388748.9381812,26719380.63353244,26719380.63353244,,,,,,,33
July,4064763584.72948,1429165465.1161468,913335854.989422,2635598119.613389,0.0,0.0,,,,,,,33
August,3794102841.7851424,1565485360.0010417,987340605.3736398,2228617481.784155,2530458.1533566536,2530458.1533566536,,,,,,,33
September,2970868616.267042,1515679043.316849,908939533.1844196,1455189572.95021,33365383.23661247,33365383.23661247,,,,,,,33
October,3250090487.028714,1697854575.6160843,950338230.181531,1552235911.4126246,1424054520.603695,1424054520.603695,,,,,,,33
November,5305455805.134442,1778972098.396662,945941908.3765324,3526483706.737775,6248666727.9439125,6248666727.9439125,,,,,,,33
December,6440360096.194341,1762029510.2217915,913335854.9894216,4678330585.972557,8023800069.268114,8023800069.268114,56641929407.42906,20059805162.889072,11225275008.781116,36582124244.53914,50428191444.1956,50428191444.1956,33
January,9060551919.80216,1919217257.0152311,975862799.3735842,7141334662.7869005,15464890029.79661,15464890029.79661,,,,,,,34
