Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) ,Simulation_ID
February,7024736037.413795,1709870485.618016,894812198.205458,5314865551.79578,12228934310.18381,12228934310.18381,,,,,,,88
March,6919803332.036868,1912440848.1893244,1023564887.1662564,5007362483.847566,8964899469.391272,8964899469.391272,,,,,,,88
April,4075429705.029908,1628548066.116351,903927432.82215,2446881638.9135404,3597869439.2450376,3597869439.2450376,,,,,,,88
May,3103977822.212563,1723994689.660749,1023564887.1662564,1379983132.5518038,752336585.0756626,752336585.0756626,,,,,,,88
June,3183348696.8688545,1570996701.0807536,980647324.1793284,1612351995.788089,34838893.48797341,34838893.48797341,,,,,,,88
July,3755526018.57811,1463455681.8055773,946844995.8090827,2292070336.7725177,0.0,0.0,,,,,,,88
August,3492566920.6321125,1605766429.248829,1023564887.1662564,1886800491.38328,2090112.4206725587,2090112.4206725587,,,,,,,88
September,2754915321.971335,1541447237.4138978,942287378.5007472,1213468084.5574276,40217087.48146463,40217087.48146463,,,,,,,88
October,3345069607.436769,1713252811.858802,985204941.4876688,1631816795.5779574,1799246508.7769618,1799246508.7769618,,,,,,,88
November,5785828698.899837,1791715803.5056734,980647324.1793236,3994112895.394165,7450308968.685497,7450308968.685497,,,,,,,88
December,7184994999.99262,1777674671.209945,946844995.8090892,5407320328.782693,9317536589.200912,9317536589.200912,59167445910.29058,20322737895.61799,11637116193.98636,38844708014.673325,59292717256.277016,59292717256.277016,88
January,7862560112.45058,1768672857.9557295,877254653.3929214,6093887254.494811,12706660860.425297,12706660860.425297,,,,,,,90
February,6421737784.97859,1605471609.5911074,796766369.851074,4816266175.387494,10483491277.947918,10483491277.947918,,,,,,,90
March,6222753975.792972,1796652389.3898735,911411445.9883935,4426101586.403054,7679956744.622549,7679956744.622549,,,,,,,90
April,3893337260.184892,1514487473.0068438,804882835.41833,2378849787.17805,2826268125.984904,2826268125.984904,,,,,,,90
May,3336932255.490523,1585036975.0592947,911411445.9884064,1751895280.431218,524781952.8139545,524781952.8139545,,,,,,,90
June,3563429733.281131,1422360990.089958,873196420.609287,2141068743.191144,23388240.945589308,23388240.945589308,,,,,,,90
July,4178046670.774772,1303474578.311118,843097860.7974365,2874572092.463664,0.0,0.0,,,,,,,90
August,3899215537.731865,1426989754.143525,911411445.9884064,2472225783.5883503,3436906.2060049414,3436906.2060049414,,,,,,,90
September,3096175023.691826,1400978777.122651,839039628.0138085,1695196246.569181,37940719.16446447,37940719.16446447,,,,,,,90
October,3324034147.4159184,1594132280.9531546,877254653.3929214,1729901866.4627695,1366569713.5111446,1366569713.5111446,,,,,,,90
November,5342627563.028513,1683388908.508253,873196420.609287,3659238654.520259,6115397754.491093,6115397754.491093,,,,,,,90
December,6409533749.506469,1668623449.2810037,843097860.797437,4740910300.225487,8187798689.031588,8187798689.031588,57550383814.32839,18770270043.407104,10362021040.847668,38780113770.91538,49955690985.14472,49955690985.14472,90
January,8299007635.574005,1863960096.9881165,954307697.5921236,6435047538.585897,13502022405.023329,13502022405.023329,,,,,,,97
February,6842296088.305424,1691951229.6383133,866749782.3928411,5150344858.66713,11145176733.56292,11145176733.56292,,,,,,,97
March,6832201785.064653,1894954282.3647585,991464627.9918128,4937247502.699906,8046864357.511846,8046864357.511846,,,,,,,97
April,4149318754.0509233,1614152877.5682223,875579151.992773,2535165876.4827056,3353530185.862712,3353530185.862712,,,,,,,97
May,3277754971.37832,1709211477.6023405,991464627.9918172,1568543493.7759595,726299664.4233088,726299664.4233088,,,,,,,97
June,3319612912.2565536,1557633549.573427,949893012.7921556,1761979362.6830995,37722442.97130643,37722442.97130643,,,,,,,97
July,3885436507.390001,1450080615.899758,917150767.1924304,2435355891.4902124,1274839.734286141,1274839.734286141,,,,,,,97
August,3632722267.9173737,1591285179.4139118,991464627.9918172,2041437088.503432,12731541.857549423,12731541.857549423,,,,,,,97
September,2902285905.7353,1527367001.9468007,912736082.392468,1374918903.7884777,57175736.86460593,57175736.86460593,,,,,,,97
October,3440409234.8628454,1699814534.6846662,954307697.5921236,1740594700.178184,1758092729.5596182,1758092729.5596182,,,,,,,97
November,5720062418.060984,1777627128.334235,949893012.7921556,3942435289.726741,6825293163.022076,6825293163.022076,,,,,,,97
December,7055532514.655122,1761199803.8368514,917150767.1924292,5294332710.818281,8414198188.322894,8414198188.322894,59356640995.25178,20139237777.85282,11272161855.903925,39217403217.39977,53880381988.716606,53880381988.716606,97
January,8654919932.966455,1850256271.1027997,946234485.0807664,6804663661.863616,14212337900.479595,14212337900.479595,,,,,,,99
February,7159936198.343889,1679569504.4001756,859417288.6855407,5480366693.943697,11598534838.390663,11598534838.390663,,,,,,,99
March,7100958085.062505,1881737602.3831828,983077076.8283198,5219220482.67931,8573941813.414765,8573941813.414765,,,,,,,99
April,4234605779.779826,1610020481.9174798,868171963.9522867,2624585297.8623447,3486088944.737658,3486088944.737658,,,,,,,99
May,3125329945.436411,1713432493.1754858,983077076.82832,1411897452.2609377,751209687.0632805,751209687.0632805,,,,,,,99
June,3070529086.790887,1567296736.4543524,941857147.4473926,1503232350.3365295,34563168.99417171,34563168.99417171,,,,,,,99
July,3582778448.194751,1471585337.6177323,909391893.3332132,2111193110.5770285,675921.0072197355,675921.0072197355,,,,,,,99
August,3343034056.739211,1609881687.1702302,983077076.82832,1733152369.5689876,9219767.618254988,9219767.618254988,,,,,,,99
September,2676412685.188051,1536487890.0120382,905014555.6998426,1139924795.176021,57377567.55627237,57377567.55627237,,,,,,,99
October,3421139406.20249,1695088454.5399842,946234485.0807664,1726050951.6625202,1844048725.4894764,1844048725.4894764,,,,,,,99
November,5990091441.103885,1765959399.1343236,941857147.4473934,4224132041.969548,7140734580.137232,7140734580.137232,,,,,,,99
December,7329415842.263364,1748588194.9626677,909391893.333212,5580827647.300681,9042932889.97624,9042932889.97624,59689150908.072136,20129904052.87126,11176802090.548176,39559246855.20101,56751665804.86485,56751665804.86485,99
